                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3501.6631  3.37783e-18  5.98247e-17  2.20775e-18     967   117.014  7.15089e+15  0     
   3503.7234  2.82960e-18  5.94946e-17  2.18823e-18     968   117.016  7.18802e+15  0     
   3505.7842  5.45785e-18  5.74678e-17  2.19048e-18     969   117.018  7.22531e+15  0     
   3507.8455 -5.64111e-19  5.94115e-17  2.12343e-18     970   117.020  7.26363e+15  0     
   3509.9072  3.48519e-19  6.20127e-17  2.16879e-18     971   117.022  7.30261e+15  0     
   3511.9692  2.85828e-18  6.21850e-17  2.20067e-18     972   117.024  7.34273e+15  0     
   3514.0317 -1.11405e-18  5.99657e-17  2.10308e-18     973   117.026  7.38486e+15  0     
   3516.0947  5.48866e-18  5.78715e-17  2.16169e-18     974   117.028  7.42958e+15  0     
   3518.1582  3.05651e-18  5.62986e-17  2.09563e-18     975   117.030  7.47554e+15  0     
   3520.2219  2.79603e-18  5.61411e-17  2.08205e-18     976   117.032  7.52128e+15  0     
   3522.2861  6.21187e-18  5.64646e-17  2.12965e-18     977   117.034  7.56393e+15  0     
   3524.3508  1.62882e-18  5.40373e-17  2.02068e-18     978   117.036  7.60061e+15  0     
   3526.4160  3.40330e-18  5.26861e-17  2.02207e-18     979   117.038  7.63263e+15  0     
   3528.4814  4.00619e-18  5.30758e-17  2.03216e-18     980   117.040  7.66329e+15  0     
   3530.5474  1.33417e-18  5.43514e-17  2.00662e-18     981   117.043  7.69387e+15  0     
   3532.6135  3.49684e-18  5.74174e-17  2.07866e-18     982   117.045  7.72520e+15  0     
   3534.6804  2.24800e-18  5.59910e-17  2.03469e-18     983   117.047  7.75824e+15  0     
   3536.7473  8.96719e-19  6.01066e-17  2.07011e-18     984   117.049  7.78889e+15  0     
   3538.8149  8.50676e-19  6.49803e-17  2.13374e-18     985   117.051  7.81797e+15  0     
   3540.8831  3.73812e-18  7.84319e-17  2.34486e-18     986   117.054  7.84601e+15  0     
   3542.9514  2.29967e-18  9.58559e-17  2.53309e-18     987   117.056  7.87380e+15  0     
   3545.0200  5.15982e-18  1.08230e-16  2.69859e-18     988   117.058  7.90346e+15  0     
   3547.0894  7.14670e-18  1.09532e-16  2.72810e-18     989   117.060  7.93536e+15  0     
